county,township,parcel_count,total_area_ha,centroid_lat,centroid_lng
臺北市,北投區,3931,774.86,25.138635842670734,121.5061957198941
臺北市,士林區,3252,605.62,25.125157524358265,121.54987932432695
臺北市,文山區,884,376.12,24.983357444593846,121.57834580651537
臺北市,南港區,514,140.37,25.026953563384144,121.61541846515047
臺北市,內湖區,920,139.95,25.090932550205338,121.5992479831175
臺北市,信義區,140,21.0,25.024526969374495,121.57529310204676
臺北市,中山區,33,13.13,25.08743882888949,121.5409382455497
臺北市,大安區,13,9.41,25.011416124071527,121.54948489381518
臺中市,和平區,10920,4691.77,24.2647378181946,121.09835575635852
臺中市,東勢區,12086,4031.36,24.247996529858273,120.83731731539424
臺中市,大甲區,21706,3219.15,24.381227116057715,120.63711289031986
臺中市,霧峰區,12441,3194.28,24.04744218346083,120.70346599294892
臺中市,新社區,13217,3146.27,24.183985838080382,120.82778133765763
臺中市,清水區,20348,2918.84,24.295519104443137,120.58253365123217
臺中市,太平區,6442,2818.08,24.114421253676294,120.77058571234603
臺中市,后里區,15540,2570.87,24.3103282119005,120.705020259503
臺中市,外埔區,15196,2528.68,24.334907438987756,120.66776706855441
臺中市,大安區,13798,1984.04,24.363060060072705,120.593848667728
臺中市,龍井區,7783,1796.06,24.197236919504892,120.53492858431751
臺中市,神岡區,11481,1599.76,24.26397844390996,120.6743994645102
臺中市,烏日區,8399,1590.85,24.075481633765104,120.63503250499926
臺中市,大肚區,6281,1290.67,24.144443007648963,120.5500730421032
臺中市,豐原區,8423,1263.47,24.25222718084992,120.73762708106908
臺中市,大雅區,8128,1181.71,24.227040143007684,120.64626051398079
臺中市,沙鹿區,4691,1100.1,24.23405795096262,120.58256790043355
臺中市,北屯區,3460,1056.44,24.187273984356747,120.75291860877745
臺中市,潭子區,6673,945.66,24.21289748905128,120.708264097144
臺中市,西屯區,3895,647.36,24.188979153033163,120.62794886680517
臺中市,石岡區,3590,614.62,24.264782901626372,120.79164387236482
臺中市,大里區,4264,600.76,24.094197163646932,120.6849138704216
臺中市,梧棲區,3245,570.27,24.237541051269936,120.5407336337949
臺中市,南屯區,3343,489.06,24.13811294045944,120.61108016575815
臺中市,南區,100,18.11,24.11597728278709,120.65697796897356
臺中市,東區,143,14.72,24.13676762779248,120.70249484671757
臺中市,北區,30,2.6,24.161653904300262,120.68205758253664
臺中市,西區,12,0.77,24.14264758852401,120.66113333198075
基隆市,七堵區,1289,266.53,25.115256904180818,121.68710901709167
基隆市,安樂區,409,109.03,25.136016447685133,121.7095445861087
基隆市,中山區,318,56.0,25.150158602850027,121.72478100183596
基隆市,暖暖區,227,31.45,25.092239163689744,121.7415994116614
基隆市,信義區,119,21.96,25.125627240635453,121.77850640620977
基隆市,中正區,104,18.68,25.138081685477513,121.78808519951939
基隆市,仁愛區,53,4.27,25.1189686005866,121.74210038428318
臺南市,七股區,16748,9483.14,23.124390253013356,120.10561679213215
臺南市,安南區,15759,6613.37,23.050092505041448,120.14309580267572
臺南市,白河區,17332,5810.94,23.358009932266178,120.44520399389422
臺南市,後壁區,18038,5462.35,23.36188565685468,120.34804926027716
臺南市,東山區,14358,5423.09,23.287256013861,120.43077790875644
臺南市,北門區,7931,4082.12,23.27900241200459,120.1300527996616
臺南市,學甲區,11895,3821.19,23.252496710180377,120.18492103862309
臺南市,鹽水區,12766,3741.72,23.29714427423863,120.247171710674
臺南市,麻豆區,11429,3656.11,23.182042610777124,120.24053528257647
臺南市,楠西區,9474,3646.92,23.178323331467606,120.50928663140266
臺南市,歸仁區,12244,3582.32,22.944486811022664,120.29451832301301
臺南市,柳營區,12112,3416.95,23.27162965185438,120.34758804654325
臺南市,將軍區,10633,3329.67,23.20675577916063,120.1296530383612
臺南市,玉井區,8494,3295.46,23.11446249173874,120.45767830346227
臺南市,善化區,10154,3286.8,23.144170752586046,120.29867840476437
臺南市,南化區,9883,3248.83,23.06957816261289,120.500153616077
臺南市,官田區,10708,3169.61,23.1921208214091,120.33538324398431
臺南市,新市區,9189,2880.3,23.080705349853165,120.29563884492079
臺南市,關廟區,9490,2631.4,22.954837848863967,120.33361825782329
臺南市,新化區,10078,2604.08,23.035559649425206,120.3268585967655
臺南市,大內區,8518,2597.21,23.13708239044605,120.3876532043624
臺南市,佳里區,13401,2589.22,23.166874481260663,120.17865027734263
臺南市,下營區,9737,2437.55,23.230904373146565,120.26482329866009
臺南市,西港區,8986,2396.93,23.12586503943976,120.20026289850945
臺南市,六甲區,7773,2390.19,23.235093258457958,120.35178996312777
臺南市,仁德區,7109,2243.25,22.937635514656122,120.2432018203377
臺南市,安定區,8619,1982.04,23.097445378330143,120.22732456970948
臺南市,新營區,7491,1936.26,23.29927946299956,120.29046474764387
臺南市,左鎮區,5065,1574.05,23.035730112511146,120.40882812411493
臺南市,山上區,4433,1227.71,23.098517985461218,120.36266811756155
臺南市,龍崎區,2309,1118.85,22.955998481275117,120.378948627022
臺南市,永康區,3322,849.03,23.029034138267086,120.26391342198266
臺南市,南區,2492,546.36,22.945624653354734,120.18857518917285
臺南市,中西區,46,22.78,23.002855225504018,120.1732330524364
臺南市,安平區,114,22.74,22.98631375278176,120.15984472777484
臺南市,東區,60,16.18,22.969879352398326,120.22337140136243
臺南市,北區,32,7.32,23.009492719283312,120.18560787807557
高雄市,美濃區,24078,4691.78,22.880491135473996,120.5473616629666
高雄市,旗山區,9929,3558.62,22.864298336632448,120.48331051868404
高雄市,大寮區,11979,2855.59,22.595504519046344,120.41510893760011
高雄市,路竹區,12355,2755.37,22.86100759733603,120.26665362996313
高雄市,杉林區,8867,2710.59,22.989448317477198,120.55781601836337
高雄市,大樹區,9440,2674.46,22.711145222833036,120.42548197344517
高雄市,燕巢區,7891,2614.96,22.785421145407465,120.36017588602189
高雄市,內門區,11030,2495.68,22.960097233420214,120.47372666608234
高雄市,六龜區,9174,2157.91,22.99327115789179,120.65564671415926
高雄市,阿蓮區,9128,2157.55,22.869589368921986,120.31889626549288
高雄市,岡山區,5264,1823.59,22.806698596954213,120.30081657893928
高雄市,田寮區,5961,1555.66,22.860254684879568,120.38831319512
高雄市,那瑪夏區,2906,1506.84,23.25673229535563,120.69293975525828
高雄市,桃源區,1981,1435.54,23.168380521485243,120.7650185018124
高雄市,永安區,4989,1377.67,22.820965327764885,120.2292202222966
